,number,value,datetime_start,datetime_complete,duration,params_lr,state
0,0,1.3548731298524428,2025-07-04 18:21:32.563485,2025-07-04 18:38:54.235932,0 days 00:17:21.672447,1.329291894316217e-05,COMPLETE
1,1,1.626005000603888,2025-07-04 18:38:54.236728,2025-07-04 18:56:35.535480,0 days 00:17:41.298752,0.0007114476009343421,COMPLETE
2,2,2.003516770121568,2025-07-04 18:56:35.536356,2025-07-04 19:13:42.550389,0 days 00:17:07.014033,0.000157029708840554,COMPLETE
3,3,1.2128851882135763,2025-07-04 19:13:42.551050,2025-07-04 19:31:03.346653,0 days 00:17:20.795603,6.251373574521755e-05,COMPLETE
4,4,1.427728199450569,2025-07-04 19:31:03.347217,2025-07-04 19:48:23.420288,0 days 00:17:20.073071,2.9380279387035354e-06,COMPLETE
5,5,1.6934009077916006,2025-07-04 19:48:23.420943,2025-07-04 20:05:48.980376,0 days 00:17:25.559433,2.9375384576328313e-06,COMPLETE
6,6,1.7344936798620207,2025-07-04 20:05:48.981201,2025-07-04 20:23:04.905849,0 days 00:17:15.924648,1.493656855461763e-06,COMPLETE
7,7,1.6502023678394186,2025-07-04 20:23:04.906649,2025-07-04 20:40:11.627713,0 days 00:17:06.721064,0.0003967605077052988,COMPLETE
8,8,1.642108955922609,2025-07-04 20:40:11.628364,2025-07-04 20:57:40.331742,0 days 00:17:28.703378,6.358358856676247e-05,COMPLETE
9,9,1.5939823601901895,2025-07-04 20:57:40.332511,2025-07-04 21:15:01.778754,0 days 00:17:21.446243,0.000133112160807369,COMPLETE
